[2026-06-27 21:38:34,707: INFO: main: Hello from the main.py:]
[2026-06-28 03:19:45,722: INFO: common: yaml file: config/config.yaml loaded successfully:]
[2026-06-28 03:19:45,724: INFO: common: yaml file: params.yaml loaded successfully:]
[2026-06-28 03:20:03,828: INFO: common: yaml file: config/config.yaml loaded successfully:]
[2026-06-28 03:20:03,830: INFO: common: yaml file: params.yaml loaded successfully:]
[2026-06-28 03:20:24,125: INFO: common: yaml file: config/config.yaml loaded successfully:]
[2026-06-28 03:20:24,126: INFO: common: yaml file: params.yaml loaded successfully:]
[2026-06-28 03:21:10,083: INFO: common: yaml file: config/config.yaml loaded successfully:]
[2026-06-28 03:21:10,085: INFO: common: yaml file: params.yaml loaded successfully:]
[2026-06-28 03:21:10,086: INFO: common: created directory at: artifacts:]
[2026-06-28 03:21:10,086: INFO: common: created directory at: artifacts/data_ingestion:]
[2026-06-28 03:21:40,491: INFO: common: yaml file: config/config.yaml loaded successfully:]
[2026-06-28 03:21:40,492: INFO: common: yaml file: params.yaml loaded successfully:]
[2026-06-28 03:21:40,493: INFO: common: created directory at: artifacts:]
[2026-06-28 03:21:40,494: INFO: common: created directory at: artifacts/data_ingestion:]
[2026-06-28 03:21:42,086: INFO: 1661489630: File is downloaded:]
[2026-06-28 03:45:49,470: INFO: main: Data Ingestion Stage started:]
[2026-06-28 03:45:49,471: INFO: common: yaml file: config/config.yaml loaded successfully:]
[2026-06-28 03:45:49,471: INFO: common: yaml file: params.yaml loaded successfully:]
[2026-06-28 03:45:49,471: INFO: common: created directory at: artifacts:]
[2026-06-28 03:45:49,471: INFO: common: created directory at: artifacts/data_ingestion:]
[2026-06-28 03:45:50,751: INFO: data_ingestion: File is downloaded:]
[2026-06-28 03:45:50,831: INFO: main: Data Ingestion Stage completed:]
